country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Botswana,BWA,CHE_CAP_PPP,890.280029296875,959.77001953125,1058.43005371094,1078.18994140625,1122.14001464844
Burkina Faso,BFA,CHE_CAP_PPP,87.9400024414063,112.860000610352,123.809997558594,107.569999694824,122.410003662109
Burundi,BDI,CHE_CAP_PPP,54.1100006103516,61.5200004577637,61.1399993896484,64.3199996948242,61.7999992370605
Cameroon,CMR,CHE_CAP_PPP,122.230003356934,126.98999786377,124.129997253418,127.910003662109,136.240005493164
Cabo Verde,CPV,CHE_CAP_PPP,288.929992675781,306.450012207031,350.640014648438,370.299987792969,369.679992675781
Central African Republic,CAF,CHE_CAP_PPP,39.6199989318848,46.3300018310547,60.8400001525879,107.819999694824,78.4400024414063
Chad,TCD,CHE_CAP_PPP,82.3399963378906,84.9599990844727,72.9199981689453,66.0400009155273,69.4000015258789
Comoros,COM,CHE_CAP_PPP,124.669998168945,133.25,159.740005493164,154.009994506836,168.639999389648
"Congo, Dem. Rep.",COD,CHE_CAP_PPP,35.939998626709,42.0699996948242,44.0499992370605,36.9799995422363,40.6100006103516
"Congo, Rep.",COG,CHE_CAP_PPP,113.980003356934,106.559997558594,106.819999694824,76.8000030517578,81.6900024414063
Cote d'Ivoire,CIV,CHE_CAP_PPP,149.820007324219,158.440002441406,159.660003662109,160.809997558594,179.550003051758
Djibouti,DJI,CHE_CAP_PPP,141.570007324219,128.720001220703,121.080001831055,121.580001831055,104.139999389648
"Egypt, Arab Rep.",EGY,CHE_CAP_PPP,614.369995117188,600.359985351563,620.450012207031,576.059997558594,582.22998046875
Equatorial Guinea,GNQ,CHE_CAP_PPP,700.919982910156,643.330017089844,667.460021972656,638.539978027344,607.429992675781
Eritrea,ERI,CHE_CAP_PPP,70.7699966430664,59.8600006103516,57.310001373291,72.620002746582,81.8499984741211
Ethiopia,ETH,CHE_CAP_PPP,63.3600006103516,67.6399993896484,69.8099975585938,71.2799987792969,75.1100006103516
Gabon,GAB,CHE_CAP_PPP,390.630004882813,443.970001220703,417.299987792969,414.720001220703,432.190002441406
"Gambia, The",GMB,CHE_CAP_PPP,65.6500015258789,76.1800003051758,85.9100036621094,108.050003051758,88.7099990844727
